Set,Release_Date,Months_Old_Jun2026,MSRP,Current_Jun2026,ATH,ATH_Date,First_Price,ROI_Percent,Assessment,IP_Theme,Investment_Grade
First Chapter,Aug 18 2023,34.2,120,275,415,Jun 2026,148.27,+129%,Exception - Strong IP sustains premium long-term,Maleficent (strong),S-Tier Hold
Rise of the Floodborn,Nov 17 2023,31.2,120,140,400,Sep 2025,125.35,+17%,Mixed IP peaks early then plateaus,Mixed (Cinderella/Moana),Avoid
Into the Inklands,Feb 23 2024,28,125,90,400,Mar 2024,125.74,-28%,Weak IP collapses post-release; EOL discount,Aladdin (weak),Sell
Ursula's Return,May 17 2024,25.2,120,190,420,Jun 2026,102.5,+58%,Strong IP sustains 1.58x retail,Ursula (strong),A-Tier Hold
Shimmering Skies,Aug 9 2024,22.4,125,119,400,Mar 2026,124.66,-5%,Mixed IP; modest depreciation active,Mixed (Stitch),Sell/Exit
Azurite Sea,Nov 8 2024,19.4,120,95,420,Nov 2024,-21%,No IP anchor; sharp post-release collapse,Ensemble (weak),Sell
Archazia's Island,Feb 28 2025,16,120,100,125,Apr 2025,119,-17%,Failed to sustain ATH; weak IP,Rapunzel (moderate),Sell
Fabled,May 16 2025,13.2,120,250,837.50,Jun 2026,170,+108%,Reprint scarcity spike; ATH is anomaly,Mixed (reprint),Avoid
Winterspell,Aug 15 2025,10.2,120,174,400,Jun 2026,117.58,+45%,Strong IP appreciation early; monitor long-term,Frozen (strong),A-Tier Buy/Hold
Wilds of the Unknown,Nov 14 2025,7.3,120,259,400,Jun 2026,n/a,+116%,Pixar debut novelty spike; too early to trust,Pixar (unproven),Monitor
